"ID","Species","Longitude","Latitude","Common Name","Accuracy: Square Meters","Date","Source","County","Location Quality","Citation"
"1145603","velutina","-116.5771","33.5793","Arizona ash","3141592","1940-10-30","Cal BG","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1151552","velutina","-117.3298","33.5967","Arizona ash","3141592","1966-03-02","Cal BG","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"1184229","velutina","-116.866667","33.95","Arizona ash","50000000","1996-05-01","Cal BG","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"LOB117916","velutina","-116.690487","33.76602","Arizona ash","2112406","1972-04-29","CSU Long Beach","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"SD90097","velutina","-116.41667","33.57083","Arizona ash","50000000","1972-10-22","SDNHM","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099940","velutina","-116.88722","34.02306","Arizona ash","50000000","1924-07-29","UC Riverside","Riverside","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"UCR0099926","velutina","-118.29881","34.22911","Arizona ash","50000000","2002-06-24","UC Riverside","Los Angeles","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"642304","velutina","-116.169191","34.045672","Arizona ash","6157521","1922-05-07","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"POM accession: 3601","velutina","-117.491796","34.256719","Arizona ash","314159265","1918-05-30","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
"716675","velutina","-117.344722","34.283611","Arizona ash","3141592","1979-05-10","Cal BG","San Bernardino","low","Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 10, 2023."
