species,common_name,x,y
Fraxinus latifolia,Oregon ash,-122.806236,38.401849
Fraxinus latifolia,Oregon ash,-122.806206,38.401869
Fraxinus latifolia,Oregon ash,-122.80611,38.401942
Fraxinus latifolia,Oregon ash,-122.806188,38.401863
Fraxinus latifolia,Oregon ash,-122.805651,38.403101
Fraxinus latifolia,Oregon ash,-122.805668,38.403045
Fraxinus latifolia,Oregon ash,-122.805683,38.402985
Fraxinus latifolia,Oregon ash,-122.805671,38.402928
Fraxinus latifolia,Oregon ash,-122.805675,38.402641
Fraxinus latifolia,Oregon ash,-122.805693,38.402559
Fraxinus latifolia,Oregon ash,-122.805682,38.402512
Fraxinus latifolia,Oregon ash,-122.805766,38.402271
Fraxinus latifolia,Oregon ash,-122.805811,38.402218
Fraxinus latifolia,Oregon ash,-122.80588,38.402124
Fraxinus latifolia,Oregon ash,-122.805934,38.402045
Fraxinus latifolia,Oregon ash,-122.805962,38.401946
Fraxinus latifolia,Oregon ash,-122.805748,38.40245
Fraxinus latifolia,Oregon ash,-122.805706,38.402735
Fraxinus latifolia,Oregon ash,-122.805666,38.402874
Fraxinus latifolia,Oregon ash,-122.805673,38.403143
Fraxinus latifolia,Oregon ash,-122.805644,38.40315
Fraxinus latifolia,Oregon ash,-122.805663,38.402739
Fraxinus latifolia,Oregon ash,-122.805677,38.402384
Fraxinus latifolia,Oregon ash,-122.805858,38.402059
Fraxinus latifolia,Oregon ash,-122.805991,38.401892
Fraxinus latifolia,Oregon ash,-122.805668,38.40234
Fraxinus latifolia,Oregon ash,-122.805618,38.402324
Fraxinus latifolia,Oregon ash,-122.8058,38.40203
Fraxinus latifolia,Oregon ash,-122.805638,38.402277
Fraxinus latifolia,Oregon ash,-122.805837,38.401929
Fraxinus latifolia,Oregon ash,-122.805922,38.401888
Fraxinus latifolia,Oregon ash,-122.805591,38.402348
Fraxinus latifolia,Oregon ash,-122.805589,38.403239
Fraxinus latifolia,Oregon ash,-119.790335,36.87792
Fraxinus latifolia,Oregon ash,-122.677824,38.583289
Fraxinus latifolia,Oregon ash,-123.626466,39.756256
Fraxinus latifolia,Oregon ash,-123.637838,39.741695
Fraxinus latifolia,Oregon ash,-122.590044,37.9748
Fraxinus latifolia,Oregon ash,-116.500835,33.586337
Fraxinus latifolia,Oregon ash,-122.776777,38.611344
Fraxinus latifolia,Oregon ash,-122.863651,38.516896
Fraxinus latifolia,Oregon ash,-122.856245,38.517765
Fraxinus latifolia,Oregon ash,-122.852068,38.407361
Fraxinus latifolia,Oregon ash,-122.851286,38.407975
Fraxinus latifolia,Oregon ash,-122.997419,38.513206
Fraxinus latifolia,Oregon ash,-122.581954,38.042086
Fraxinus latifolia,Oregon ash,-122.73617,38.60255
Fraxinus latifolia,Oregon ash,-122.815869,38.401298
Fraxinus latifolia,Oregon ash,-119.57201,37.34129
Fraxinus latifolia,Oregon ash,-122.828118,38.429409
Fraxinus latifolia,Oregon ash,-122.983516,38.769767
Fraxinus latifolia,Oregon ash,-122.882535,38.448496
Fraxinus latifolia,Oregon ash,-122.878113,38.447752
Fraxinus latifolia,Oregon ash,-121.3303,38.58098
Fraxinus latifolia,Oregon ash,-122.931486,38.381943
Fraxinus latifolia,Oregon ash,-123.042062,38.572319
Fraxinus latifolia,Oregon ash,-122.730455,38.744882
Fraxinus latifolia,Oregon ash,-121.223144,40.015224
